mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__k_neighbors,param_pca__n_components,param_clf__n_estimators,param_clf__max_depth,param_clf__learning_rate,param_clf__lambda,param_clf__alpha,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f2,split1_test_f2,split2_test_f2,split3_test_f2,mean_test_f2,std_test_f2,rank_test_f2
2293.9486882686615,10.70922499094317,25.71174043416977,6.425344880674053,3,,70,5,0.007,1.1,0.0,"{'smote__k_neighbors': 3, 'pca__n_components': None, 'clf__n_estimators': 70, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9941438426172735,0.994676949346844,0.9947771573787182,0.9954545636741876,0.9947631282542557,0.00046616018183793476,90,0.9292041034540377,0.928120958337354,0.9338770017858876,0.9285478734183462,0.9299374842489063,0.002306969357307133,94
2286.6677921414375,24.777779863399864,29.645593523979187,8.175406071217038,9,,70,5,0.007,1.1,0.0,"{'smote__k_neighbors': 9, 'pca__n_components': None, 'clf__n_estimators': 70, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9954305137465378,0.9936067275664279,0.9948653404467674,0.9949535235148168,0.9947140263186376,0.000674484920760585,94,0.928901922206554,0.93365514051569,0.9294849709545309,0.9283193075546228,0.9300903353078495,0.0020989978068202964,89
1658.7658247351646,509.9225781628384,8.7003333568573,3.619347090046277,3,0.95,70,5,0.007,1.1,0.0,"{'smote__k_neighbors': 3, 'pca__n_components': 0.95, 'clf__n_estimators': 70, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9866562984756354,0.992993454411358,0.986347657737463,0.9897346892148099,0.9889330249598166,0.0026924598449592084,137,0.8382707413706322,0.8230682234992053,0.8307557370507437,0.8306074750636109,0.830675544246048,0.005375160755878797,145
1053.4319159388542,19.149452848747565,7.093871593475342,2.4677066971261885,9,0.95,70,5,0.007,1.1,0.0,"{'smote__k_neighbors': 9, 'pca__n_components': 0.95, 'clf__n_estimators': 70, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9866603067969104,0.9938672684493007,0.9864719156969869,0.9867765481138844,0.9884440097642706,0.003133006320064191,142,0.8383289615200968,0.8216250714093523,0.8308581498749186,0.8304592350310753,0.8303178544588607,0.005917225301930409,150
1167.3133588433266,2.762367696604321,49.723031520843506,1.9638134349285092,3,,102,5,0.007,1.1,0.0,"{'smote__k_neighbors': 3, 'pca__n_components': None, 'clf__n_estimators': 102, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9965969352375531,0.9954946468869372,0.9966811099843275,0.9966811099843275,0.9963634505232863,0.0005027797571271999,73,0.9305452008611114,0.9363736310139621,0.9405620381410043,0.9370692039775121,0.9361375184983975,0.0035977137732216093,76
1283.8259029388428,11.995583104960449,14.447334885597229,0.43175601642254346,9,,102,5,0.007,1.1,0.0,"{'smote__k_neighbors': 9, 'pca__n_components': None, 'clf__n_estimators': 102, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9969616924735751,0.9946168245277196,0.9953984471763381,0.9966450350928527,0.9959054998176213,0.0009460763359314586,86,0.9324030907784977,0.9394540567144967,0.9353479122253275,0.9355023917684337,0.9356768628716889,0.0025061636886841115,80
1066.274723470211,74.51635276990127,6.218956112861633,0.13041982685169118,3,0.95,102,5,0.007,1.1,0.0,"{'smote__k_neighbors': 3, 'pca__n_components': 0.95, 'clf__n_estimators': 102, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9864879489820868,0.992993454411358,0.9930134960177328,0.9898789887807088,0.9905934720479717,0.0026917576665858693,129,0.8381625335796293,0.8230682234992053,0.8245828457158225,0.830633573531232,0.8291117940814723,0.005942806930205119,158
1064.3438955545425,80.99857686974259,7.1066343784332275,2.052338017310392,9,0.95,102,5,0.007,1.1,0.0,"{'smote__k_neighbors': 9, 'pca__n_components': 0.95, 'clf__n_estimators': 102, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9864919573033618,0.9939113599833254,0.9929573795198833,0.9927689884199599,0.9915324213066325,0.0029421603767897484,121,0.8382207490722424,0.8216511755057408,0.8246987494556917,0.8241790055425112,0.8271874198940465,0.006473569188298291,164
1462.9035557508469,17.10277009960034,39.759701669216156,3.211315624334143,3,,150,5,0.007,1.1,0.0,"{'smote__k_neighbors': 3, 'pca__n_components': None, 'clf__n_estimators': 150, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9971741335011484,0.9960558118654327,0.9969657007948501,0.9980840224305658,0.9970699171479992,0.0007208573272129236,58,0.9360793305935572,0.9406358851055229,0.941751101821982,0.9396460180998548,0.9395280839052291,0.002125843364209046,58
1376.5628759264946,2.7178624018916917,47.920275807380676,3.975509970242663,9,,150,5,0.007,1.1,0.0,"{'smote__k_neighbors': 9, 'pca__n_components': None, 'clf__n_estimators': 150, 'clf__max_depth': 5, 'clf__learning_rate': 0.007, 'clf__lambda': 1.1, 'clf__alpha': 0}",0.9971581002160486,0.9949936067275664,0.9964085441376297,0.997342482994697,0.9964756835189854,0.0009244042935474749,67,0.9369216550429609,0.9396534102523337,0.9389856680836661,0.9381640763447429,0.9384312024309259,0.0010187386540730914,71
