mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_smote__k_neighbors,param_pca__n_components,param_clf__n_estimators,param_clf__max_depth,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f2,split1_test_f2,mean_test_f2,std_test_f2,rank_test_f2
927.6274815797806,7.533949494361877,10.889380931854248,0.13752412796020508,0.8,6,0.95,70,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': 0.95, 'clf__n_estimators': 70, 'clf__max_depth': 5}",0.995367327637337,0.9951268970436776,0.9952471123405073,0.00012021529682970655,10,0.8281651368805166,0.8275467900181295,0.827855963449323,0.00030917343119357676,24
988.1430599689484,6.611619234085083,10.823572993278503,0.03819882869720459,0.8,7,0.95,70,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': 0.95, 'clf__n_estimators': 70, 'clf__max_depth': 5}",0.995367327637337,0.9951870093334348,0.9952771684853859,9.015915195109692e-05,7,0.828145807756915,0.8277468454342795,0.8279463265955973,0.0001994811613177938,23
1456.868777513504,6.507545709609985,12.386319994926453,0.1123727560043335,0.8,6,,70,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': None, 'clf__n_estimators': 70, 'clf__max_depth': 5}",0.9941851145344084,0.9951789943614672,0.9946820544479378,0.0004969399135293928,15,0.8517475036153116,0.8517490816421028,0.8517482926287072,7.890133956189871e-07,8
1453.089114189148,30.50324511528015,12.46440303325653,0.06682217121124268,0.8,7,,70,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': None, 'clf__n_estimators': 70, 'clf__max_depth': 5}",0.994541782216309,0.9959604541283117,0.9952511181723103,0.0007093359560013668,9,0.8526631593992567,0.8507872670669244,0.8517252132330906,0.0009379461661661592,9
1176.1694930791855,11.802956700325012,13.856697678565979,0.1789015531539917,0.8,6,0.95,102,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': 0.95, 'clf__n_estimators': 102, 'clf__max_depth': 5}",0.9952471025760223,0.9951268970436776,0.9951869998098499,6.0102766172354105e-05,11,0.82838385327613,0.827548444762007,0.8279661490190684,0.00041770425706150194,21
1140.8000577688217,18.36565601825714,14.021136403083801,0.257778525352478,0.8,7,0.95,102,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': 0.95, 'clf__n_estimators': 102, 'clf__max_depth': 5}",0.995367327637337,0.9951870093334348,0.9952771684853859,9.015915195109692e-05,7,0.8281469122539575,0.8277523636067886,0.827949637930373,0.00019727432358446206,22
1936.282326221466,14.88696837425232,17.378385543823242,0.9136219024658203,0.8,6,,102,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': None, 'clf__n_estimators': 102, 'clf__max_depth': 5}",0.9944736546815639,0.994786260735053,0.9946299577083084,0.0001563030267445753,16,0.8508939164306435,0.8522922745304585,0.8515930954805511,0.0006991790499075168,12
1789.9141812324524,73.30711507797241,16.585662841796875,0.2448897361755371,0.8,7,,102,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': None, 'clf__n_estimators': 102, 'clf__max_depth': 5}",0.9939647019219979,0.9958522520067487,0.9949084769643732,0.000943775042375361,14,0.8518950273093037,0.8523551259026119,0.8521250766059578,0.00023004929665410012,7
1235.9604182243347,3.691009044647217,19.155683755874634,0.2851729393005371,0.8,6,0.95,150,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': 0.95, 'clf__n_estimators': 150, 'clf__max_depth': 5}",0.995162945033102,0.9951268970436776,0.9951449210383898,1.8023994712179636e-05,12,0.8284503166676898,0.827548444762007,0.8279993807148484,0.00045093595284140253,20
1233.087709903717,31.052273988723755,18.928328156471252,0.360498309135437,0.8,7,0.95,150,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': 0.95, 'clf__n_estimators': 150, 'clf__max_depth': 5}",0.9951068400044885,0.995183001847451,0.9951449209259697,3.8080921481276064e-05,13,0.8284467261956395,0.8277512376386136,0.8280989819171265,0.0003477442785129736,19
2348.7144433259964,17.836966633796692,21.98441457748413,0.16941332817077637,0.8,6,,150,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': None, 'clf__n_estimators': 150, 'clf__max_depth': 5}",0.99433339211003,0.9943213923609302,0.9943273922354801,5.999874549911244e-06,17,0.8508561783588892,0.8525567149029398,0.8517064466309145,0.0008502682720253341,10
2358.191019177437,21.779415726661682,21.77373707294464,0.1551913022994995,0.8,7,,150,5,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 7, 'pca__n_components': None, 'clf__n_estimators': 150, 'clf__max_depth': 5}",0.9934757866726512,0.9944536393983961,0.9939647130355237,0.0004889263628724549,18,0.8511970817355763,0.8520336268795289,0.8516153543075526,0.00041827257197629697,11
887.2214314937592,28.78237271308899,12.41333532333374,0.6544959545135498,0.8,6,0.95,70,8,"{'smote__sampling_strategy': 0.8, 'smote__k_neighbors': 6, 'pca__n_components': 0.95, 'clf__n_estimators': 70, 'clf__max_depth': 8}",0.9923617011044675,0.994261280071173,0.9933114905878202,0.0009497894833527254,19,0.8399300719699719,0.8360364282618937,0.8379832501159328,0.0019468218540391047,16
